pays,ville,nom,poste
France,Paris,The Gaze of a Parisienne,Co founder
Maroc,Rabat,Fondation nationale des musées du Maroc,Chargée de communication de la Fondation nationale des musées du Maroc
Germany,Bremen,"Focke-Museum, Bremer Landesmuseum für Kunst und Kulturgeschichte",Presse- und Öffentlichkeitsarbeit
Italy,Genova,Genoa Foundation 1893,Archivista
United States,"Washington, D.C.",Folger Shakespeare Library,Communications Associate
United States,New York City,American Folk Art Museum,Social Media Associate
Norway,Oslo,Norsk Folkemuseum,Advisor
United Kingdom,Omagh,Ulster American Folk Park,Consumer Marketing Executive
France,Paris,Fondation Cartier pour l'art contemporain,Assistante digital manager
France,Paris,Fondation Louis Vuitton,Chargée de communication
Italy,Torino,Fondazione Merz,Ufficio Stampa
Italy,Milano,Fondazione Adolfo Pini,Responsabile eventi
Italy,Milano,fondazione studio museo vico magistretti,responsabile dell'archivio e dell'accoglienza al pubblico
Italy,Torino,Fondazione Sandretto Re Rebaudengo,Press Office and Social Media Manager
United Kingdom,Manchester,National Football Museum,Marketing & Communications Officer
United Kingdom,Portsmouth,Royal Armouries at Fort Nelson,Communications Officer
Canada,Calgary,Fort Calgary,Education & Social Media Manager
Canada,Portage la Prairie,Fort la Reine Museum,Executive Director
Canada,Victoria,Fort Rodd Hill and Fisgard Lighthouse National Historic Sites,Marketing Intern
Canada,Lethbridge,Fort Whoop-Up National Historic Site,Program & Events Coordinator
Spain,Linares,Conjunto Arqueológico de Cástulo,Miembro del equipo de FORVM MMX
Mexico,Ciudad de México,Foto Museo Cuatro Caminos,Community Manager
Latvia,Riga,Latvian Museum of Photography,Public relations specialist
Mexico,Pachuca,INAH ,Subdirector de Área
United Kingdom,London,The Foundling Museum,Communications Administrator
France,La Tour-sur-Orb,Le Four à Chaux de La Tour sur Orb,propriétaire
France,Lyon,Musée d'art religieux de Fourvière,Chargée de communication
France,Reims,FRAC Champagne-Ardenne,Chargée de médiation et de médiatisation
France,Metz,49 Nord 6 Est - Frac Lorraine,chargée d'information
France,Carquefou,Frac des Pays de la Loire,Attachée à l'information et aux relations avec le public
United Kingdom,Nottingham,Framework Knitters Museum,Manager
Germany,Frankfurt am Main,Frankfurter Kunstverein,Projektkorrdinatorin
United States,New York City,Fraunces Tavern Museum,Development & Marketing Officer
Canada,Fredericton,Fredericton Region Museum,Executive Director
United States,Ogdensburg,Frederic Remington Art Museum,director
United States,Cincinnati,National Underground Railroad Freedom Center,Public Relations and Social Media Coordinator
United States,"Washington, D.C.","Freer and Sackler Galleries, Smithsonian Institution",Digital Editor
United States,Cedar City,Garth & Jerri Frehner Museum of Natural History,Assistant Director
France,Marseille,Friche la Belle de Mai,Assistante de communication
United States,New York City,The Frick Collection,Manager of Media Relations and Marketing
United Kingdom,Bristol,University of Bristol Theatre Collection,Volunteer
United States,Alexandria,Friends of Alexandria Archaeology,President
United States,Washington Crossing,Friends of Washington Crossing Historic Park,Social Media Manager
United Kingdom,Hemel Hempstead,Frogmore Paper Mill,Education Officer
United Kingdom,Saffron Walden,Fry Art Gallery,Hon. Secretary
Chile,Santiago,Espacio Fundación Telefónica Chile,Coordinadora General
Japan,Fukui,Fukui Prefectural Museum of Fine Arts,学芸員
Japan,Fukui,Fukui city history museum,学芸員
United Kingdom,London,Fulham Palace,Project Assistant
Italy,Milano,fulvia bleu,partner
Spain,A Coruña,Fundación Barrié,Community Manager Fundación Barrié
Spain,Madrid,Fundación Canal,Community Manager/SMM
Mexico,Ciudad de México,Fundación Jumex Arte Contemporáneo,Gerente de comunicación
Argentina,Buenos Aires,Fundación Proa,Comunicación y Prensa
Argentina,Buenos Aires,Fundación Telefónica Argentina,Comunicación y Social Media
Spain,Sevilla,Fundación Valentín de Madariaga,Responsable del área de cultura
Spain,Valladolid,Museo de Arte Africano Arellano Alonso (UVA),Directora
Spain,Santiago de Compostela ,Museo Fundación Eugenio Granell ,Personal de prácticas en la Fundación Granell  
Spain,Barcelone,Fundación La Fontana,Directrice
Spain,Sevilla,Fundación Tres Culturas ,Técnico de Proyectos
France,Aix-en-Provence,FONDATION VASARELY,mediatrice culturelle
Japan,Tokyo,Creation Gallery G8,なし
France,Paris,La Gaîté lyrique,Chargée de communication web
Argentina,Buenos Aires,Francisco Traba  Art Gallery,Director
France,Doulcon,Galerie Ipoustéguy,Médiatrice culturelle
Italy,Roma,Galleria Borghese,mascotte di marmo
Italy,Milano,Gallerie d'Italia,Content manager 
Canada,Ottawa,National Gallery of CAnada,Social Media Officer
Russia,Moscow,Fine Art Gallery,Арт-менеджер
France,Paris,Gallica / Bibliothèque nationale de France,Chef de projet médiation numérique Gallica
Canada,Edson,Galloway Station Museum,Customer Service
Brasil,Rio de Janeiro,Galpão Bela Maré,Coordenação Programa Educativo
Canada,Lethbridge,Galt Museum & Archives,Marketing/Communications Officer
United States,Galveston,Galveston Historical Foundation,Collections Management
Italy,Palermo,Galleria d'Arte Moderna,Ufficio Stampa
Italy,Bergamo,GAMeC - Galleria d'Arte Moderna e Contemporanea di Bergamo,Area Comunicazione GAMeC
Italy,Pisa ,GAMeC CentroArteModerna Pisa ,Director 
United Kingdom,Preston,The Museum Of Gaming,Director & Curator
Italy,Torino,GAM Torino,Social media manager
Russia,Moscow,Garage Museum of Contemporary Art,content manager
Japan,Hakone,Hakone Venetian Glass Museum,インターネット担当
Canada,Toronto,Gardiner Museum,Marketing Coordinator
United Kingdom,Liverpool,Garstang Museum of Archaeology,Curatorial Assistant
Russia,Gatchina,Gatchina Palace and Estate Museum,Пресс-секретарь
France,Paris,The Gaze of a Parisienne,Co-founder
Russia,Klin,The Tchaikovsky State Museum-Reserve,зав. научно-информационным секторомсектором
Germany,Hamburg,Neuengamme Concentration Camp Memorial / KZ-Gedenkstätte Neuengamme,Gedenkstättenpädagogik
United Kingdom,London,Geffrye Museum of the Home,Web Administrator
Japan,Utsunomiya,Ueno Memorial Museum,学芸員
France,Melun,Musée de la gendarmerie nationale,Resposable de la communication
Ukraine,Kharkiv,GENDERMUSEUM - Museum of Women's and Gender History,Museum Director
United States,New York City,Materiae et mangonibus Generalis Societatis Urbis Novi Eboraci,Executive Director
France,Couthures-sur-Garonne,Maison des Gens de Garonne,chargée de communication
Italy,Bologna,Genus Bononiae,Ufficio stampa e comunicazione
United Kingdom,Nottingham,Nottingham Natural History Museum,Collections Access Officer (Natural History)
Japan,Ibaraki-ken,Gerd Knäpper Gallery,オーナー／　館長
United States,Los Angeles,J. Paul Getty Museum,Sr. Writer/Editor
United States,Hamilton,Grounds For Sculpture,Marketing Coordinator
Brasil,Vitória,Galeria Homero Massena,Museóloga
Canada,Toronto,Gibson House Museum,Social Media Community Manager/Historical Interpreter
Japan,Gifu,"The Museum of Fine Arts, Gifu",広報部
Spain,Alicante,Instituto Alicantino de Cultura Juan Gil-Albert,Asesora Marketing Online
United Kingdom,Selborne,Gilbert White & The Oates Collections,Assistant Manager (Marketing)
United States,Tulsa,Gilcrease Museum,Communications Manager
United States,Hickory Corners,Gilmore Car Museum,Social Media Specialist
United Kingdom,Longton,Gladstone Pottery Musem,Audience Development Officer
Canada,Belleville,Glanmore National Historic Site of Canada,Education and Marketing Coordinator
Ireland,Dublin,Glasnevin Cemetery Museum,Online Communications Officer
Japan,Hakone,Hakone Venetian glass museum caffe terrazza,一般社員
Canada,Calgary,Glenbow,Communications Specialist
United Kingdom,Gloucester,Canal & River Trust Gloucester Waterways Museum,Marketing & Communications Manager
Ireland,Cork,Lewis Glucksman Gallery,Retail & Development Manager
United Kingdom,Swansea,Glynn Vivian Art Gallery,Learning Co-ordinator
United Kingdom,Worcester,George Marshall Medical Museum,Curator
United Kingdom,Glasgow,Glasgow Museums Resource Centre,Museum Manager
Italy,Roma,Galleria nazionale d'arte moderna e contemporanea,Responsabile SII e Web
United Kingdom,Newcastle,Great North Museum: Hancock,communications officer
Italy,Urbino,Galleria Nazionale delle Marche - Urbino,Dipendente - Collaboratore alla comunicazione
Italy,Parma,GALLERIA NAZIONALE DI PARMA ,UFFICIO COMUNICAZIONE E PROMOZIONE CULTURALE
United States,Cleveland,Cleveland Museum of Natural History,Digital Communications Coordinator
Canada,Richmond,Gulf of Georgia Cannery National Historic Site,Marketing & Visitor Services Manager
United Kingdom,London,goin2london.com,quality inspector
Australia,Ballarat,Sovereign Hill Museums Association,Education Officer
United Kingdom,London,"Goldsmiths College, Univeristy of London",Student Centre Assistant
Italy,Firenze,Polo Museale Fiorentino - Galleria degli Uffizi - dipartimento di Antichità Classiche ,"Curatore progetto ""Gold Unveiled"""
United States,Waltham,Gore Place,Office and Social Media Manager
United Kingdom,London,UK Government Art Collection,Curator of Information & Research: Modern & Contemporary
Canada,Regina,Government House,Visitor Experience Manager
United States,Saint-Petersburg,Great Explorations Children's Museum,Communications Manager
Australia,Melbourne,Grainger Museum,Cultural Collections Officer
Russia,Saint-Petersburg,Museum Grand Maket Rossiya,Deputy General Director
France,Paris,Réunion des Musées Nationaux Grand Palais,CM
France,Nantes,Grand Patrimoine de Loire-Atlantique,Chargé du développement numérique
United Kingdom,London,"Grant Museum of Zoology, UCL",Museum Manager
United States,Moundsville,Grave Creek Mound Archaeological Complex,Site Manager
United States,Grand Rapids,Grand Rapids Children's Museum,Marketing & Events Manager
United Kingdom,Winchester ,The Great Hall and Round Table Winchester,Senior Assistant
United States,Greensboro,Greensboro Science Center,Marketing Manager
United States,Greenville,Greenville Museum of Art,Executive Director
United Kingdom,Gressenhall,Gressenhall Farm and Workhouse,Sustainability Project Officer
Canada,Owen Sound,Grey Roots Museum & Archives,manager
Monaco,Monaco,Grimaldi Forum Monaco,Communication Manager
Canada,Grimsby ,Grimsby Museum,Collections Management Assistant
Russia,Khabarovsk,Grodekov Museum,специалист сектора общественных связей
Germany,Berlin,Martin-Gropius-Bau,"Organisationsbüro, studentischer Mitarbeiter"
Germany,Berlin,Game Science Center,Designer & Curatorial Assistant
United States,"Washington, D.C.",Georgetown University Spagnuolo Art Gallery,Assistant Gallery Director
Canada,Guelph,Guelph Museums,Community Relations Coordinator
Japan,Tokyo,Guerccino,株式会社TBSテレビ事業局文化事業部
United Kingdom,Manchester,Community archive for Channel Island Evacuation,archivist and community group leader
United States,New York City,Guggenheim Museum,"Associate Director, Digital Marketing"
Finland,Helsinki,Guggenheim Helsinki,Client exceutive
Italy,Venezia,Peggy Guggenheim Collection,Press Officer
France,Paris,Fondation Calouste Gulbenkian - Délégation en France,Assistante de communication
United States,Mason Neck,Gunston Hall,Director of Marketing & Public Relations
Spain,Valencia,IVAM,community manager
United States,Mount Vernon,Fred W. Smith National Library for the Study of George Washington,Manager of Educational Resources and Outreach
Japan,Hiroshima,Hiroshima Prefectural Art Museum,事業推進課
Japan,Hachinohe,Hachinohe Portal Museum,コーディネーター
Sweden,Stockholm,The Hallwyl Museum,Communication Officer
United States,Charleston,Halsey Institute of Contemporary Art,Curator of Education & Public Programs
Japan,Shizuoka,Hamamatsu Municipal Museum of Art,IT担当
Germany,Hamburg,Hamburg Museum,Social Media Manager
United States,Los Angeles,Hammer Museum,Communications Associate
United Kingdom,Glasgow,Scottish Football Museum,Marketing & Social Media
United Kingdom,Winchester,Hampshire Cultural Trust - Hampshire1914 ,Web Content Assistant
United States,Johnson City,Hands On! Regional Museum,Marketing Manager
Italy,Milano,HangarBicocca,Ufficio Stampa e Web
United Kingdom,Winchester,Hampshire Cultural Trust,Alex Thomson
Japan,Tokyo,Hara Museum of Contemporary Art,広報
France,Harcourt,Domaine d'Harcourt,Médiatrice culturelle
United States,Harpers Ferry,Harpers Ferry National Historical Park,Museum Specialist
United Kingdom,Preston,Harris Museum & Art Gallery,Audience Development Officer
United Kingdom,Harrogate,Royal Pump Room Museum,Audience Development Officer
United States,Cambridge,Collection of Historical Scientific Instruments,Director of Administration
United States,Cambridge,harvard museum of natural history,Designer
United States,Cambridge,Harvard Museums of Science & Culture,Assistant to the Executive Director
United Kingdom,Haslemere,Haslemere Educational Museum,Education Officer
United Kingdom,Hastings,Hastings Museum and Art Gallery,Curator
United States,Marblehead,Bernd Haussmann Studio,artist
United States,Charlotte,Harvey B. Gantt Center for African-American Arts+Culture,Marketing Manager
United States,Hartford,Harriet Beecher Stowe Center,Communications Coordinator
United Kingdom,London,The Household Cavalry Museum,Visitor Service Assistant
United States,Guerneville,History of Computing in Learning and Education,Project Manager
Canada,Goderich,Huron County Museum,Business Development Manager
Germany,Berlin,Stiftung Haus der Geschichte,Online-Redakteurin
United States,Milwaukee,Harley-Davidson Museum,Curator
United States,Phoenix,Heard Museum,Senior Communications Manager
Germany,Hamburg,Archäologisches Museum Hamburg,Sammlungsleiter
United Kingdom,Helston,Helston Museum,Marketing Intern
Spain,Barcelona,Hash Marihuana Cáñamo & Hemp Museum Barcelona,PR Officer
United Kingdom,Much Hadham,Henry Moore Foundation,Marketing & Digital Officer
Australia,Hobart,Heritage People,Project co-ordinator
Canada,Grand Bend,Lambton Heritage Museum,Digital Curator
Canada,Calgary,Heritage Park Historical Village,Digital Marketing Specialist
United Kingdom,Hertford,Hertford Museum,Assistant Curator
United States,"Washington, D.C. ",Heurich House Museum,Events & Marketing Coordinator
Poland,Gdansk,Hewelianum Centre,press officer
United States,Bend,High Desert Museum,Director of Communications
United States,Ashland,Highlands Museum & Discovery Center,Education and Marketing Director
Canada,Iona,Highland Village Musuem ,Leaning & Media Specialist
United States,Atlanta,High Museum of Art,Marketing Specialist
United States,Lafayette,Paul and Lulu Hilliard University Art Museum,Museum Director
United States,"Washington, D.C.","Hillwood Estate, Museum and Gardens",Director of Marketing and Communications
Japan,Ena,"Hiroshige Museum of Art , Ena",学芸員
Japan,Hiroshima,Hiroshima University Museum,学芸職員
Germany,Frankfurt am Main,historisches museum frankfurt,Kuratorin
Switzerland,Basel,Historisches Museum Basel,Projektleiterin eCulture
Belarus,Minsk,National Historical Museum of the Republic of Belarus,leading researcher
United States,Pensacola,UWF Historic Trust,Marketing Coordinator
Sweden,Stockholm,Historiska,Digital Project Manager
Ukraine,Kyiv,National Museum of the History of Ukraine,PR and communication
United States,Kansas City,Wornall/Majors House Museums,Director of Public Programs & Events
United States,Pittsburgh,Heinz History Center,Web and Social Media Content Manager
United States,Saint-Paul,Minnesota Historical Society (History Education),Education Specialist
United States,South Bend,The History Museum,Marketing Coordinator
Canada,Winnipeg,Royal Aviation Museum of Western Canada,Consultant
Australia,Adelaide,History SA,"Curator, Online Programs"
United States,Santa Rosa,History Museum of Sonoma County,Assistant to the Director
Germany,Berlin,HKW,Leitung Kommunikation
United Kingdom,London,Heritage Lottery Fund London Team,Team Assistant
United Kingdom,Gaydon,Heritage motor centrum,Marketing Assistant
Germany,Dortmund,HMKV (Hartware MedienKunstVerein),Geschäftsführung
United States,San Antonio,Holocaust Memorial Museum of San Antonio,Community Engagement Associate
United States,Houston,Houston Museum of Natural Science,Director of Online Media
Japan,Chiba,HOKI　MUSEUM,館長
United States,"Washington, D.C.",United States Holocaust Memorial Museum,Social Media Manager
Belgium,Bruxelles,Home Frit' Home,Conservateur
United States,City of Industry,Workman and Temple Family Homestead Museum,Collections Assistant
Belgium,Jemeppe-sur-Sambre,Espace de l'Homme de Spy,responsable
Iceland,Gardabaer,Museum of Design and Applied Art,Specialist
United States,Honolulu,Honolulu Museum of Art,Social Media Associate
United States,Alameda,USS Hornet Museum,"Director of Museum Collections and Exhibitions, Social Media Liason"
United Kingdom,London,Horniman Museum and Gardens,Digital Manager
Japan,Kyoto,HOSOMI　MUSEUM,主任学芸員
United States,New Castle,Hoyt Center for the Arts,Marketing Director
United Kingdom,London,Historic Royal Palaces,Digital Media Manager
United States,West Palm Beach,Historical Society of Palm Beach County,Director of Advancement and Communications
United States,Hempstead,Hofstra University Museum,Development and Membership Coordinator
United States,New York City,Marina Abramovic Institute,Special Projects
United States,Yonkers,Hudson River Museum,Development Associate for Communications
United Kingdom,High Wycombe,"Hughenden Manor, National Trust",Conservation Assistant
United Kingdom,Rochester ,Huguenot Museum,Learning and Community Engagement Officer
United States,New Paltz,Historic Huguenot Street,Communications & Marketing Manager
United Kingdom,London,Hunterian Museum,Learning & Events Officer
United States,Chattanooga,Hunter Museum of American Art,communications and technology coordinator
United States,Glens Falls,The Hyde Collection,Communications Associate
Canada,Québec,Hydro-Quebec,Conseillère Accueil
South Korea,Seoul,Seoul Arts Center,Senior Manager
United Kingdom,London,Imperial War Museums,Web Producer
Italy,Castell'Arquato,Ufficio Turistico di Castell'Arquato,impiegata 
United States,Boston,The Institute of Contemporary Art / Boston,Marketing Associate
Italy,Venezia,ICI VENICE - Istituto Culturale Internazionale Venice,masini
Georgia,Tbilisi,ICOM Georgia,Chair
United States,"Washington, D.C.",ICOM-US,Director
France,Issy-les-Moulineaux,IFREMER,Chargé de communication numérique
Russia,Ivanovo,Ivanovo State Museum of Local History named Dmitry Burylin,scientific secretary
United States,Seattle,Seattle Art Museum (SAM),Social Media Manager
Mexico,Mexicali,Instituto de Investigaciones Culturales - Museo UABC,Responsable de laboratorio
Italy,Napoli,Il Bello o il Vero,Segreteria organizzativa
Japan,Okaya,ｉｌｆ　ｄｏｕｇａ　ｍｕｓｅｕｍ,学芸員
United States,Springfield,Illinois Artisans Program,Assistant Director
United Kingdom,London,House of Illustration,Communications Assistant
Japan,Morioka,IWATE MUSEUM OF ART,総務課スタッフ
United States,Indianapolis,Indianapolis Museum of Art,Curator of Audience Experiences and Performance
United States,McAllen,IMAS,"Director of Development, PR & Communications"
United States,Lexington,International Museum of the Horse,Education Coordinator
Australia,Melbourne,Immigration Museum ,"Brand Manager, Family Audiences"
United States,Indianapolis,Indiana State Museum & Historic Sites,"VP, Marketing"
United Kingdom,Worcester,The Infirmary,Learning and Engagement Trainee
Italy,Sannicandro Garganico,Il Sentiero dell' Anima,socia fondatrice
Colombia,Bogotá,Comisariado,Community Manager
Italy,Savona,Infopoint Savona,Dipendente
France,Paris,Musée d'art et d'histoire du Judaïsme,chargée de communication
Russia,Tula,TIAM,специалист по связям с общественностью
Canada,Ingersoll,Ingersoll Cheese & Agricultural Museum,Curator
Brasil,Brumadinho,Instituto Inhotim,Analista de Mídias Sociais
France,Paris,Inrap,Community manager - webmaster
France,Paris,Inserm,Responsable des événements et action de culture scientifique
France,Bordeaux,Institut Culturel Bernard Magrez,Responsable Webmarketing
Brasil,Recife,Instituto Ricardo Brennand,Coordenador Educativo
United States,Stratford,Stratford Hall,Director of Interpretation & Education
United States,Bronx,Intersection Arts,Owner
United States,"Washington, D.C. ",International Spy Museum,Marketing Communications Manager
United States,Chicago,Intuit,Marketing
United States,Honolulu,Iolani Palace,Collections Manager
Japan,Itsukaichi,Ishigami-no-oka Museum of Art,学芸員
Turkey,Istanbul,Istanbul Modern,Digital Marketing Manager
Japan,Tokyo,Itabashi art museum,広報
Brasil,São Paulo,Itaú Cultural,Analista de Comunicação
Spain,Lalín,Biblioteca Marioneta,Biblioteca
Russia,Izhevsk,Muzei Izhevska,Научный сотрудник
Netherlands,Amsterdam,izi.TRAVEL,PR-manager
France,Paris,Musée Jacquemart-André,Chargée des projets web et nouveaux médias
United States,"Washington, D.C.",James Brock Art,Artist
United Kingdom,Chawton,Jane Austen's House Museum,Marketing & Events Manager
Canada,Grand-Métis,Jardins de Métis / Reford Gardens,Coordonnatrice aux ventes et aux événements
Canada,Jasper,Jasper Yellowhead Museum & Archives,Manager
Mexico,Mexico,Academia Jassiba,Director
Latvia,Jaunpils,Jaunpils museum,Advertising specialist
United States,Providence ,The Jenks Musuem,Digital Production Specialist
Canada,Ottawa,Canada Science and Technology Corporation ,Conservation Assistant
France,Montpellier,Direction Régionale des Affaires Culturelles Languedoc-Roussillon,Chargé de mission Journées Européennes du Patrimoine 
France,Paris,Jeu de Paume,Community manager
United Kingdom,London,Jewish Museum London,"Marketing, PR and Communications Coordinator"
United States,Baltimore,Jewish Museum of Maryland,Marketing Manager
Russia,Moscow,Jewish Museum and Tolerance Center,Socail Media Manager
United States,San Francisco,The Contemporary Jewish Museum,Digital Engagement Associate
United States,"Washington, D.C.",Johns Hopkins University Museum Studies,"Director, Museum Studies"
United States,"Washington, D.C. ",Jewish Historicla Society of Greater Washington,Assistant Archivist
Germany,Berlin,Jewish Museum Berlin,Press Department
Germany,Fürth,Jewish Museum of Franconia,Pressereferentin
United States,Fredericksburg,James Monroe Museum,Membership & Special Events Coordinator
United States,New Brunswick,Johnson & Johnson,Chief Historian
Austria,Graz,Universalmuseum Joanneum,Leiter Presse und digitale Kommunikation
United States,Alexandria,Gadsby's Tavern Museum,Assistant Director
United States,Franklin,Johnson County Museum of History,Museum Assistant
Mexico,Morelia,Borgeano,Escritor
United Kingdom,York,JORVIK Viking Centre,Marketing Officer
Japan,Kanagawa,Joshibi University of Art and Design Art Museum,学芸員
United States,Omaha,Joslyn Art Museum,Marketing Assistant
Japan,Tokyo,NATIONAL ARCHIVES OF JAPAN,総務課情報システム係
Canada,Kitchener,Joseph Schneider Haus ,"Co-ordinator, Marketing and Community Relations"
United States,"Eugene, Oregon",Jordan Schnitzer Museum of Art,Communications Manager
Germany,München,Juedisches Museum Muenchen,Presse- und Öffentlichkeitsarbeit 
Canada,Courseulles-sur-Mer,Juno Beach Centre,Executive Director
Italy,Torino,Juventus Museum,Responsabile del Museo
United States,Green River,John Wesley Powell River History Museum,Executive Director
Turkey,Istanbul,Women´s Museum Istanbul,Curator
United States,Kalamazoo,Kalamazoo Valley Museum,Office Specialist
United States,Georgetown,Kaminski House Museum,Director
Japan,Kanagawa,kanagawa Prefectural Museum of Cultural History,企画情報部企画普及課　主事
Japan,Kanagawa,"The Museum of Modern Art, Kamakura & Hayama",普及課学芸員
Japan,Yufu,Kanatrier,企画、営業担当
Belgium,Gaasbeek,Gaasbeek Castle,Intern
Japan,Katsuyama,KATSUYAMA CASTLE MUSEUM,事業課長
Lithuania,Kaunas,Kaunas city museum,web administrator
Japan,Kawasaki,Kawasaki City Museum,企画広報担当
Japan,Tokyo,KAYOKO Y UKI,ディレクター
Russia,Kazan,"The historic-architectural and art museum-reserve ""The Kazan Kremlin""",Specialist
Japan,Yamaguchi,kazuki yasuo museum,主任主事
United Kingdom,London,Keats House,Museum Trainee
United Kingdom,Sheffield,Kelham Island Museum,Events & Marketing Assistant
United States,Ann Arbor,Kelsey Museum of Archaeology,Volunteer Docent
United States,Saint-Louis,Mildred Lane Kemper Art Museum,Assistant Educator
Ukraine,Kyiv,The Bohdan and Varvara Khanenko Museum of Arts,PR-manager
Japan,Nikko,"Kosugi Hoan Museum of Art, Nikko",学芸課長
United Kingdom,Lochgilphead,Kilmartin Museum,Social Media Volunteer
Japan,Otsu,"The Museum of Modern Art,Shiga",教育普及担当
Canada,Kingston,Kingston Association of Museum,Coordinator
United Kingdom,Bo'ness,The Friends of Kinneil,Volunteer PR 
Austria,Klagenfurt,Cinema-Museum Klagenfurt,Kurator
United Kingdom,London,Kirkaldy Testing Museum,volunteer director
United Kingdom,Huddersfield,Kirklees Museums & Galleries,Events Development Officer
Russia,Kirillov,Kirillo-Belozersky museum-reserve,specialist public relations
Japan,Kyoto,KIT Museum and Archives,館長
Russia,Kizhi island,The Kizhi State Open-Air Museum,ведущий инженер
United States,Klamath Falls,Klamath County Museum,Registrar
Japan,Kitakyushu,KITAKYUSHU MUSEUM OF NATURAL HISTORY & HUMAN HISTORY ,広報担当
Belgium,Antwerp,Koninklijk Museum voor Schone Kunsten Antwerpen,Webmaster & digital communications
United Kingdom,Knaresborough,Knaresborough Castle and Museum,Audience Development Officer
United Kingdom,Knebworth,Knebworth House,Marketing Officer
Japan,Kobe,Kobe Fashion Museum,広報／グラフィックデザイナー
Armenia,Yerevan ,Ervand Kochar Museum ,Ervand Kochar Museum 
Germany,Köln,Kolumba,Leitungsassistenz
Japan,Beppu,Beppu Contemporary Art Festival ‘Mixed Bathing World’,staff
Russia,Moscow,Moscow Kremlin Museums,специалист пресс-службы 
Netherlands,Otterlo,Kröller-Müller Museum,Web editor
Finland,Jyväskylä,Museum of Central Finland,Museum assistant
Japan,Kyoto, Kyoto University of Art and Design,入学課員
Austria,Wien,Kunstforum,Social Media
Russia,Tula,The State Museum-Preserve “The Kulikovo Field”,заместитель начальника отдела развития
Sweden,Vimmerby,Astrid Lindgrens Nas,MD
Germany,Schloss Leitzkau ,STIFTUNG DOME und SCHLOESSER,Pressesprecherin
Germany,Düsseldorf,Kulturkenner,Kulturreferent
Japan,Bungotakada,KUNISAKI Art Festival,staff
Germany,Bremen,Kunsthalle Bremen,Assistentin Presse- und Öffentlichkeitsarbeit
Germany,München,Kunsthalle München,Presse Mitarbeiter
Austria,Vienna,Kunsthalle Wien,Marketing Assistant
Germany,Stuttgart,Kunstmuseum Stuttgart,Kommunikation & Marketing
Germany,Düsseldorf,Museum Kunstpalast,Mitarbeiterin Kommunikation
Japan,Hiroshima Pref.,Kure Municipal Museum of Art,学芸員
Denmark,Aarhus C,Women´s museum in Denmark ,Marketing and communication coordinator
Japan,Saitama,Kawanabe Kyosai Memorial Museum,館長
Japan,Kyoto,The Museum of Kyoto,総務課
Japan,Kyoto,Kyoto International Manga Museum,広報担当
Japan,Kobe,Masterpieces from the Kunsthaus Zürich (Kobe City Museum),朝日新聞社大阪企画事業部
Spain,Valencia,Centre Cultural La Beneficència,Community Manager
France,Angers,En Face,Trésorière
Mexico,Juarez,La Rodadora Espacio Interactivo,Gerente Servicios Educativos
Spain,Gijón,LABoral Centro de Arte y Creación Industrial,Social Media
France,Langueux,La Briqueterie,médiatrice
Spain,Madrid,La Casa Encendida,Comunicación y Prensa
France,Grenoble,La Casemate,Journaliste web
United States,Los Angeles,Los Angeles County Museum of Art,Director of Executive Communications
Italy,Castiglione Olona,Museo della Collegiata,Rappresentante legale
France,Angers,la corbata rosa,Galeriste
France,Wizernes,"La Coupole, Centre d'Histoire",Reponsable Relations Publiques
Spain,Balmaseda,La Encartada Fábrica-Museo,Directora
United Kingdom,Newcastle Upon Tyne,Laing Art Gallery,Communications Officer
United States,Wauconda,Lake County Discovery Museum,Communications Specialist
United States,Painesville,Lake County Historical Society,Executive Director
Italy,Fasano,Rock Park Lama d'Antico,Responsabile gestione 
France,Roubaix,La Manufacture,chargée de communication
France,Villeneuve d'Ascq,"LaM, Lille Métropole musée d'art moderne, d'art contemporain et d'art brut",Webmestre
United States,Lancaster,Landis Valley Village and Farm Museum,Media Assistant
Spain,Madrid,La Neomudéjar Anat-Garde Arts Center,CoDirector
United Kingdom,Canterbury,Langton Star Centre,"Director, Langton Star Centre"
Argentina,Buenos Aires,LA OTRA MIRADA,miembro del Grupo
France,Montpellier,La Panacee,Médiatrice et CM
Spain,Lleida,Centre d'Art la Panera,Responsable del centro de documentación
Spain,Valencia,La Posta Foundation,Secretario del Patronato
Argentina,Buenos Aires,Museo de Arte Español Enrique Larreta,community manager
United States,New Orleans ,Louisiana State Museum,Administrative Coordinator
Canada,Montréal,TOHU,Relationniste
Croatia,Zagreb,Lauba - People and Art House,curator
Israel,Tel Aviv,Contemporary By Golconda,Directrice artistique
France,Laval,Ville de Laval,Assistante de communication et multimédia
Italy,Venaria Reale,La Venaria Reale,Social Media Manager
France,Paris,La Villette,Chargée de projets web & community manager
France,Paris,LE BAL,Responsable communication
France,Paris,Museum national d'Histoire naturelle,Responsable du multimédia
United Kingdom,Huddersfield ,Leach ,Technical sales manager
United Kingdom,Royal Leamington Spa,Leamington Spa Art Gallery & Museum,Publicity Officer
United States,Chicago,Leather Archives and Museum,Director of Operations
France,Paris,le Centre des monuments nationaux,Chargée de communication digitale
United Kingdom,Leeds ,Leeds Art Gallery ,Head of Site Development
United Kingdom,Leeds,leeds museums and galleries,digital media assistant
France,Tourcoing,Le Fresnoy - Studio national des arts contemporains,Responsable de la Communication
