pays,ville,nom,poste
France,Saint-Germain-en-Laye,Musée d'Archéologie nationale et Domaine national de Saint Germain en Laye,Community manager
France,Vendeuil-Caply,Musée archéologique de l'Oise,Conservateur
Italy,Radda in Chianti,Parco di Poggio La Croce,coordinatore
Canada,Montréal,Archives de Montréal,Chef de section
France,Rennes,Archives départementales d'Ille-et-Vilaine,community manager
France,Lyon,Archives municipales de Lyon,Chargée de communication
France,Paris,Archives de France,Responsable internet et médias sociaux
France,Saint-Lô,Archives départementales de la Manche,Médiateur culturel
France,Pierrefitte-sur-Seine,Archives nationales,Responsable des médias sociaux
Canada,Brampton,Archives @ PAMA,Reprographics specialist ... note that this account will join in on #architectureMW
France,Sevran,Archives municipales de Sevran,Responsable du service des Archives
Spain,Madrid,Subdirección General de los Archivos Estatales,Jefe de Sección de Archivo (Responsable de Difusión de la cuenta @ArchivosEst)
United States,Brunswick,"The Peary-MacMillan Arctic Museum, Bowdoin College",Curator/Registrar
Sweden,Stockholm,The Army Museum,Marketing assistant
Canada,Halifax,Army Museum Halifax Citadel,Collections Management 
Denmark,Aarhus C,"ARoS Aarhus Kunstmuseu,",Web editor
United States,Baltimore,Baltimore Museum of Art,Digital Content Manager
Germany,Duesseldorf,Art in Duesseldorf,Social Media
Mexico,Ciudad de México,Laboratorio Arte Alameda,Redes Sociales
Chile,Santiago ,Museo Artequin ,Encargada de Comunicaciones y difusión 
Chile,Viña del Mar,Artequin Viña del Mar,Coordinadora Área Educativa
Canada,Burlington,Art Gallery of Burlington,Program Coordinator
Australia,Sydney,Art Gallery of New South Wales,Marketing Executive
United States,Chicago,The Art Institute of Chicago,Social Media Manager
United Kingdom,,ARTIST ROOMS,Digital Officer
France,Paris,Art Ludique Le Musée,Responsable RP
Russia,Irkutsk,V. Sukachoff Irkutsk Regional Art Museum,научный сотрудник
Japan,Kochi,"The Museum of Art, Kochi",学芸員
United States,Cleveland,ARTneo - the museum of Northeast Ohio art.,Executive Director
Belgium,Bruxelles,Arts&Publics,administrateur-délégué
Canada,Saint-Albert,Musée Héritage Museum,Marketing and Communications
United States,Salt Lake City ,Utah Arts and Museums ,Museum Specialist 
Japan,Tokyo,artscape,編集
Singapore,Singapore,ArtScience Museum,"Community Manager, Social  Media, Marina Bay Sands"
France,Salon-de-Provence,Collectif Arts Croisés,Directeur
France,Paris,Les Arts Décoratifs,Webmaster
France,Cordes-sur-Ciel,Musée les Arts du Sucre et du Chocolat,Assistante web
France,Paris,Musée des arts et métiers,Chargée de projets web et nouveaux médias
Canada,Kamloops,Kamloops Art Gallery,Manager of Operations
United States,Minneapolis,Minneapolis Institute of Arts,Brand Communications Specialist
United States,Santa Rosa,Art Museum of Sonoma County,Membership and Development
Japan,Towada,Towada Art Center,サービス部担当
United States,White Plains,ArtsWestchester,Communications Manager
United States,New York City,Artsy,Social Media
Italy,Firenze,Art-Test,Owner and Founder
South Africa,Johannesburg,Johannesburg Art Gallery,Curator: Contemporary Collections
Netherlands,Rotterdam,ARTtube,web editor
